"1128 N RIDGEWAY AVE , Chicago, IL",11,"1112",-87.7204181,41.9018114,"1128 n ridgeway ave, chicago, il 60651, usa"
"3653 W LEXINGTON ST , Chicago, IL",11,"1133",-87.7177981,41.8715134,"3653 w lexington st, chicago, il 60624, usa"
"3128 W MOFFAT ST , Chicago, IL",14,"1421",-87.7061678,41.9148882,"3128 w moffat st, chicago, il 60647, usa"
"3028 W 53RD PL , Chicago, IL",9,"923",-87.6999794,41.7964882,"3028 w 53rd pl, chicago, il 60632, usa"
"945 W BELMONT AVE , Chicago, IL",19,"1933",-87.653391,41.9397831,"945 w belmont ave, chicago, il 60657, usa"
"1029 E 130TH ST , Chicago, IL",5,"533",-87.596804,41.6588162,"1029 e 130th st, chicago, il 60827, usa"
"2440 W NORTH AVE , Chicago, IL",14,"1434",-87.6888449,41.9106715,"2440 w north ave, chicago, il 60647, usa"
"401 S SACRAMENTO BLVD , Chicago, IL",11,"1135",-87.7010713,41.8759148,"401 s sacramento blvd, chicago, il 60612, usa"
"2504 N NEWCASTLE AVE , Chicago, IL",25,"2512",-87.7967942,41.9256121,"2504 n newcastle ave, chicago, il 60707, usa"
"321 S KARLOV AVE , Chicago, IL",11,"1132",-87.7277702,41.8763001,"321 s karlov ave, chicago, il 60624, usa"
"2602 S KEDVALE AVE , Chicago, IL",10,"1031",-87.7283654,41.8439395,"2602 s kedvale ave, chicago, il 60623, usa"
"4128 W MADISON ST , Chicago, IL",11,"1115",-87.7293071,41.880965,"4128 w madison st, chicago, il 60624, usa"
"4848 N CHRISTIANA AVE , Chicago, IL",17,"1713",-87.7124633,41.969849,"4848 n christiana ave, chicago, il 60625, usa"
"800 S STATE ST , Chicago, IL",1,"123",-87.6276132,41.8722969,"800 s state st, chicago, il 60605, usa"
"303 S KILPATRICK AVE , Chicago, IL",11,"1131",-87.7424921,41.876495,"303 s kilpatrick ave, chicago, il 60644, usa"
"1200 N LAKE SHORE DR , Chicago, IL",18,"1824",-87.6253919,41.904179,"1200 n lake shore dr, chicago, il 60610, usa"
"5242 W CHICAGO AVE , Chicago, IL",15,"1524",-87.7573242,41.8950909,"5242 w chicago ave, chicago, il 60651, usa"
"834 E 79TH ST , Chicago, IL",6,"624",-87.6036716,41.751447,"834 e 79th st, chicago, il 60619, usa"
"4402 W GLADYS AVE , Chicago, IL",11,"1131",-87.7353917,41.8762477,"4402 w gladys ave, chicago, il 60624, usa"
"4251 W ADAMS ST , Chicago, IL",11,"1115",-87.7317447,41.877908,"4251 w adams st, chicago, il 60624, usa"
"3839 W MONROE ST , Chicago, IL",11,"1122",-87.7223557,41.879567,"3839 w monroe st, chicago, il 60624, usa"
"317 S KILPATRICK AVE , Chicago, IL",11,"1131",-87.742526,41.8763575,"317 s kilpatrick ave, chicago, il 60644, usa"
"6355 S RACINE AVE , Chicago, IL",7,"724",-87.654114,41.777954,"6355 s racine ave, chicago, il 60636, usa"
"3401 W IOWA ST , Chicago, IL",11,"1121",-87.7114864,41.897336,"3401 w iowa st, chicago, il 60651, usa"
"2600 N LARAMIE AVE , Chicago, IL",25,"2514",-87.7566656,41.9280204,"2600 n laramie ave, chicago, il 60639, usa"
"4611 N BEACON ST , Chicago, IL",19,"1913",-87.6635266,41.9657364,"4611 n beacon st, chicago, il 60640, usa"
"2700 W HARRISON ST , Chicago, IL",11,"1135",-87.693852,41.874049,"2700 w harrison st, chicago, il 60612, usa"
"758 N RIDGEWAY AVE , Chicago, IL",11,"1112",-87.7200928,41.8951392,"758 n ridgeway ave, chicago, il 60624, usa"
